Employee_Id,Avg_Working_Hours_Per_Day,Work_From,Work_Pressure,Manager_Support,Sleeping_Habit,Exercise_Habit,Job_Satisfaction,Work_Life_Balance,Social_Person,Lives_With_Family,Working_State,Stress_Level
EMP0044,10.0,Home,2,1,1,4,3,Yes,1,No,Karnataka,2
EMP0045,9.3,Home,4,1,2,2,5,Yes,1,Yes,Pune,3
EMP0046,8.1,Office,1,3,5,2,4,No,3,Yes,Pune,3
EMP0047,10.4,Home,4,2,5,4,3,No,1,Yes,Pune,2
EMP0048,14.8,Office,2,1,5,3,1,No,1,No,Hyderabad,5
EMP0049,8.2,Office,3,4,2,3,4,Yes,1,Yes,Hyderabad,1
EMP0050,10.5,Hybrid,5,5,2,1,1,No,2,No,Hyderabad,1
EMP0051,7.9,Home,1,1,5,3,1,No,3,No,Karnataka,2
EMP0052,9.3,Hybrid,5,5,4,3,1,No,3,No,Chennai,3
EMP0053,9.3,Hybrid,1,4,1,3,3,No,2,Yes,Karnataka,1
EMP0054,7.8,Hybrid,5,3,1,2,2,Yes,1,Yes,Delhi,1
EMP0055,10.1,Hybrid,2,3,3,4,4,No,2,Yes,Chennai,4
EMP0056,8.8,Hybrid,4,2,2,2,5,Yes,2,No,Pune,5
EMP0057,11.5,Office,5,2,2,2,4,No,1,Yes,Chennai,3
EMP0058,10.6,Home,2,5,3,1,5,No,4,No,Hyderabad,3
EMP0059,8.7,Office,5,3,4,5,3,Yes,1,No,Karnataka,3
EMP0060,10.7,Home,1,3,1,2,3,Yes,2,Yes,Karnataka,5
EMP0061,7.5,Hybrid,5,5,4,2,5,Yes,1,Yes,Pune,1
EMP0062,13.0,Office,5,4,2,4,4,No,3,No,Delhi,2
EMP0063,7.7,Home,1,4,1,5,5,Yes,4,Yes,Hyderabad,1
EMP0064,8.7,Home,3,3,3,1,3,No,3,Yes,Delhi,5
EMP0065,8.6,Hybrid,1,3,2,2,2,No,4,Yes,Karnataka,3
EMP0066,7.6,Office,2,2,2,4,4,No,1,No,Chennai,4
EMP0067,10.1,Hybrid,1,5,3,3,5,Yes,4,Yes,Pune,4
EMP0068,9.1,Home,1,5,2,1,5,Yes,1,No,Chennai,2
EMP0069,9.4,Home,5,2,1,3,3,No,2,Yes,Karnataka,3
EMP0070,13.1,Hybrid,5,5,2,4,2,Yes,5,No,Delhi,1
EMP0071,8.7,Office,5,5,4,1,3,No,4,No,Chennai,3
EMP0072,10.5,Office,2,4,2,3,3,No,5,Yes,Pune,3
EMP0073,13.2,Home,4,5,5,1,1,Yes,5,No,Pune,1
EMP0074,9.6,Hybrid,4,5,1,4,4,No,4,Yes,Hyderabad,3
EMP0075,9.8,Hybrid,4,5,2,5,1,Yes,2,Yes,Pune,4
EMP0076,8.0,Hybrid,4,1,3,5,4,No,1,Yes,Delhi,3
EMP0077,10.4,Home,4,4,3,3,4,Yes,3,No,Hyderabad,5
EMP0078,8.9,Hybrid,5,4,3,1,3,No,3,Yes,Hyderabad,3
EMP0079,7.7,Office,5,5,2,4,5,No,1,No,Karnataka,5
EMP0080,8.8,Hybrid,3,4,1,4,2,No,3,No,Chennai,4
EMP0081,13.6,Hybrid,4,2,1,4,5,No,3,No,Delhi,3
EMP0082,9.8,Office,2,1,3,3,5,No,3,Yes,Hyderabad,1
EMP0083,9.0,Hybrid,4,2,1,2,1,Yes,2,Yes,Pune,1
EMP0084,7.5,Office,5,5,4,1,5,Yes,3,Yes,Pune,3
EMP0085,9.9,Office,4,4,4,3,2,Yes,1,Yes,Hyderabad,4
EMP0086,9.5,Home,1,4,5,5,1,No,3,No,Chennai,3
EMP0087,6.8,Office,4,2,5,4,1,Yes,5,Yes,Chennai,1
EMP0088,10.2,Hybrid,4,4,1,3,5,Yes,3,Yes,Chennai,1
EMP0089,10.7,Hybrid,1,5,5,2,3,No,3,Yes,Delhi,3
EMP0090,9.1,Hybrid,4,1,5,1,2,No,2,No,Chennai,1
EMP0091,7.6,Hybrid,3,5,1,3,4,Yes,1,No,Karnataka,3
EMP0092,7.8,Hybrid,4,2,5,2,1,Yes,5,Yes,Karnataka,4
EMP0093,11.2,Hybrid,1,1,1,1,2,No,1,No,Pune,4
EMP0094,12.7,Home,5,2,3,5,4,No,3,No,Hyderabad,3
EMP0095,9.5,Hybrid,4,3,2,2,3,Yes,5,No,Hyderabad,3
EMP0096,9.3,Home,4,3,3,2,3,Yes,1,No,Hyderabad,1
EMP0097,8.8,Office,5,4,1,4,5,Yes,1,Yes,Hyderabad,5
EMP0098,9.2,Office,4,2,2,3,2,No,2,No,Delhi,5
EMP0099,9.6,Office,2,3,3,1,5,No,4,Yes,Delhi,2
EMP0100,8.1,Office,2,4,1,1,3,No,4,No,Chennai,5
EMP0101,8.5,Hybrid,5,4,2,5,1,No,3,Yes,Hyderabad,5
EMP0102,8.8,Hybrid,4,5,5,1,2,No,1,Yes,Karnataka,1
EMP0103,9.7,Hybrid,3,1,1,1,1,Yes,3,No,Delhi,1
EMP0104,8.9,Hybrid,3,2,4,1,4,No,1,Yes,Hyderabad,2
EMP0105,6.5,Hybrid,3,2,2,2,3,No,4,Yes,Hyderabad,5
EMP0106,6.6,Home,3,1,5,1,5,No,3,No,Delhi,5
EMP0107,14.4,Home,5,1,3,1,2,No,3,Yes,Karnataka,3
EMP0108,5.6,Office,5,2,2,1,4,Yes,2,Yes,Hyderabad,4
EMP0109,11.4,Home,2,2,4,5,5,No,3,No,Chennai,5
EMP0110,10.3,Home,2,5,5,4,2,No,2,Yes,Pune,5
EMP0111,9.7,Hybrid,4,4,3,2,1,No,5,Yes,Pune,5
EMP0112,11.7,Home,2,2,3,2,4,Yes,4,Yes,Pune,4
EMP0113,9.8,Home,3,5,3,3,1,No,4,Yes,Chennai,1
EMP0114,9.0,Hybrid,3,1,4,1,4,Yes,3,No,Karnataka,4
EMP0115,10.0,Hybrid,2,2,3,2,1,No,5,No,Delhi,5
EMP0116,8.6,Home,1,3,1,5,2,No,4,No,Karnataka,2
EMP0117,10.2,Home,5,1,1,3,5,No,3,No,Karnataka,2
EMP0118,10.3,Hybrid,4,4,1,1,3,No,1,No,Hyderabad,1
EMP0119,8.2,Office,4,2,4,4,5,No,1,Yes,Delhi,5
EMP0120,10.8,Office,2,1,1,3,4,Yes,4,No,Pune,5
EMP0121,12.7,Hybrid,2,1,4,2,2,Yes,5,No,Hyderabad,3
EMP0122,9.9,Office,5,4,3,3,5,Yes,4,No,Hyderabad,5
EMP0123,6.8,Home,3,4,4,2,3,Yes,5,No,Hyderabad,5
EMP0124,6.8,Office,1,4,5,1,4,No,3,No,Pune,5
EMP0125,6.5,Hybrid,4,2,3,1,2,Yes,4,No,Chennai,3
EMP0126,7.5,Home,4,3,2,1,5,No,3,No,Chennai,4
EMP0127,10.7,Home,3,2,3,2,2,Yes,5,Yes,Chennai,4
EMP0128,8.1,Home,1,3,4,4,5,Yes,3,Yes,Pune,2
EMP0129,8.9,Hybrid,4,1,2,4,1,Yes,1,No,Chennai,3
EMP0130,6.9,Hybrid,2,2,5,4,5,Yes,3,No,Pune,1
EMP0131,10.5,Home,4,1,3,5,1,No,3,No,Chennai,2
EMP0132,10.7,Hybrid,5,5,1,1,1,No,1,Yes,Chennai,1
EMP0133,8.7,Office,3,4,5,4,2,Yes,5,Yes,Karnataka,5
EMP0134,7.9,Hybrid,2,1,3,3,5,Yes,1,No,Pune,5
EMP0135,7.3,Office,1,2,1,3,3,Yes,2,Yes,Chennai,2
EMP0136,8.3,Hybrid,3,3,1,1,4,No,4,Yes,Pune,1
EMP0137,10.4,Hybrid,5,3,3,5,2,Yes,3,No,Pune,5
EMP0138,10.0,Office,3,1,5,5,4,Yes,3,Yes,Delhi,2
EMP0139,9.5,Home,5,3,3,1,4,No,5,No,Hyderabad,1
EMP0140,8.0,Home,2,5,3,5,3,Yes,5,No,Delhi,4
EMP0141,7.8,Office,1,5,3,4,1,Yes,2,Yes,Delhi,4
EMP0142,8.9,Hybrid,1,5,2,3,3,Yes,5,No,Hyderabad,3
EMP0143,10.2,Hybrid,1,2,2,1,4,Yes,4,Yes,Delhi,2
EMP0144,11.2,Hybrid,1,5,1,2,4,No,1,No,Karnataka,3
EMP0145,9.4,Office,1,3,3,3,3,Yes,4,Yes,Pune,4
EMP0146,10.9,Office,3,3,4,3,1,No,2,No,Karnataka,4
EMP0147,11.4,Home,5,1,1,4,5,Yes,1,No,Hyderabad,4
EMP0148,8.0,Hybrid,2,3,3,2,5,Yes,4,No,Chennai,5
EMP0149,8.8,Home,1,3,2,4,2,Yes,5,Yes,Delhi,1
EMP0150,8.9,Home,5,1,2,1,4,No,5,No,Hyderabad,3
EMP0151,10.5,Home,4,5,5,1,3,No,5,Yes,Karnataka,5
EMP0152,9.6,Hybrid,4,5,5,1,2,Yes,5,Yes,Chennai,4
EMP0153,8.6,Hybrid,3,2,2,1,5,Yes,4,No,Hyderabad,3
EMP0154,9.0,Home,5,4,2,4,4,Yes,1,No,Hyderabad,3
EMP0155,6.7,Home,2,4,3,4,5,No,5,Yes,Karnataka,2
EMP0156,10.6,Office,3,2,4,4,1,No,4,Yes,Hyderabad,5
EMP0157,6.8,Home,5,4,1,3,3,No,5,Yes,Chennai,5
EMP0158,10.3,Office,4,3,3,4,2,Yes,3,Yes,Karnataka,2
EMP0159,14.9,Home,2,1,4,3,2,No,2,Yes,Delhi,2
EMP0160,10.0,Hybrid,4,1,3,2,2,Yes,5,Yes,Hyderabad,4
EMP0161,7.4,Office,5,2,1,2,2,Yes,4,Yes,Karnataka,5
EMP0162,9.7,Home,2,2,4,4,2,No,3,Yes,Delhi,5
EMP0163,8.9,Office,1,5,2,5,4,Yes,1,No,Hyderabad,4
EMP0164,6.6,Office,2,5,2,1,1,Yes,5,No,Hyderabad,2
EMP0165,11.8,Home,2,5,4,3,4,No,1,Yes,Pune,5
EMP0166,8.1,Office,5,2,3,5,5,No,2,No,Karnataka,3
EMP0167,9.5,Home,4,1,4,4,1,Yes,2,No,Chennai,1
EMP0168,12.5,Office,2,4,3,5,3,Yes,2,Yes,Hyderabad,3
EMP0169,8.7,Home,5,3,1,4,2,No,2,Yes,Chennai,2
EMP0170,8.4,Hybrid,2,4,5,2,5,No,3,Yes,Delhi,5
EMP0171,11.5,Office,3,3,5,1,4,No,4,Yes,Chennai,4
EMP0172,11.6,Hybrid,5,1,5,2,4,No,5,No,Delhi,4
EMP0173,12.0,Home,2,2,2,4,4,Yes,3,No,Karnataka,2
EMP0174,11.9,Office,1,5,3,2,3,Yes,5,No,Delhi,4
EMP0175,10.8,Office,2,5,3,2,5,No,5,Yes,Hyderabad,5
EMP0176,9.3,Hybrid,2,5,4,5,3,No,4,Yes,Pune,5
EMP0177,10.9,Home,2,5,4,4,2,Yes,4,Yes,Delhi,1
EMP0178,6.8,Home,5,1,3,4,5,Yes,2,Yes,Chennai,4
EMP0179,8.1,Home,4,2,1,1,3,Yes,5,Yes,Pune,3
EMP0180,8.4,Home,5,1,4,4,5,Yes,4,No,Pune,5
EMP0181,7.5,Home,2,2,3,5,4,No,5,Yes,Hyderabad,5
EMP0182,9.2,Hybrid,1,4,3,1,1,No,3,Yes,Hyderabad,4
EMP0183,7.6,Hybrid,1,4,4,1,3,No,1,No,Delhi,2
EMP0184,9.2,Office,1,2,2,5,3,Yes,5,Yes,Hyderabad,2
EMP0185,9.3,Home,3,3,3,4,3,Yes,5,No,Chennai,1
EMP0186,9.1,Home,4,5,5,4,2,Yes,5,No,Karnataka,3
EMP0187,10.8,Office,3,1,4,2,4,Yes,2,No,Delhi,5
EMP0188,12.1,Hybrid,1,5,1,5,3,No,1,Yes,Pune,2
EMP0189,9.8,Home,4,2,3,3,1,No,3,Yes,Chennai,5
EMP0190,10.5,Office,5,2,5,5,3,Yes,3,Yes,Pune,4
EMP0191,11.6,Hybrid,4,2,3,5,3,No,2,Yes,Pune,4
EMP0192,9.8,Home,3,4,4,4,3,No,5,No,Pune,2
EMP0193,6.9,Office,3,3,3,5,2,No,2,Yes,Chennai,1
EMP0194,9.2,Home,1,2,2,4,3,Yes,2,Yes,Hyderabad,3
EMP0195,9.3,Hybrid,2,2,2,1,2,No,4,Yes,Pune,1
EMP0196,10.9,Hybrid,5,3,3,4,3,Yes,2,Yes,Karnataka,4
EMP0197,7.1,Office,4,1,3,2,5,Yes,3,Yes,Hyderabad,3
EMP0198,8.6,Home,5,4,1,5,3,No,4,Yes,Delhi,1
EMP0199,7.0,Office,3,4,5,3,4,Yes,2,No,Pune,2
EMP0200,9.2,Home,1,2,3,1,4,No,5,No,Chennai,1
EMP0201,8.1,Office,4,1,4,2,4,Yes,4,No,Karnataka,4
EMP0202,8.1,Home,4,5,4,1,1,No,3,Yes,Pune,1
EMP0203,9.1,Hybrid,2,4,3,5,1,No,4,Yes,Hyderabad,2
EMP0204,15.2,Home,5,3,2,2,2,Yes,3,Yes,Delhi,5
EMP0205,8.0,Office,5,1,5,5,2,No,4,Yes,Hyderabad,3
EMP0206,7.8,Office,3,4,5,1,2,No,4,No,Chennai,5
EMP0207,8.5,Office,3,4,4,2,2,No,2,No,Karnataka,5
EMP0208,8.3,Hybrid,2,2,2,2,3,Yes,3,No,Hyderabad,1
EMP0209,7.8,Home,5,5,3,5,3,Yes,3,No,Karnataka,3
EMP0210,5.0,Home,2,1,2,4,1,No,1,No,Pune,1
EMP0211,10.0,Home,2,3,2,3,2,Yes,5,Yes,Karnataka,2
EMP0212,7.9,Office,4,3,1,1,3,Yes,3,Yes,Hyderabad,5
EMP0213,9.4,Office,2,2,1,5,4,Yes,1,No,Karnataka,2
EMP0214,9.3,Home,1,1,4,3,4,No,3,Yes,Karnataka,2
EMP0215,9.7,Office,1,2,5,5,1,Yes,1,No,Chennai,4
EMP0216,5.3,Hybrid,5,1,1,1,5,No,5,Yes,Delhi,3
EMP0217,8.6,Office,5,4,4,1,3,No,5,No,Chennai,5
EMP0218,10.4,Home,5,4,1,2,1,No,5,No,Chennai,2
EMP0219,12.5,Home,3,4,5,2,5,Yes,4,No,Chennai,5
EMP0220,6.6,Hybrid,1,3,5,3,1,No,5,Yes,Delhi,3
EMP0221,12.5,Office,2,1,2,4,4,No,5,No,Hyderabad,5
EMP0222,9.9,Hybrid,2,5,4,5,2,No,3,No,Pune,1
EMP0223,11.3,Hybrid,4,5,1,1,4,No,3,Yes,Pune,3
EMP0224,7.4,Home,3,2,5,1,5,Yes,2,No,Pune,2
EMP0225,9.4,Office,2,4,1,1,4,Yes,5,No,Pune,5
EMP0226,8.5,Home,1,4,5,4,5,Yes,1,No,Karnataka,2
EMP0227,8.3,Hybrid,3,3,5,3,5,No,1,No,Hyderabad,5
EMP0228,7.2,Home,4,1,5,1,5,No,5,No,Delhi,4
EMP0229,10.4,Office,2,3,5,1,2,No,2,No,Karnataka,4
EMP0230,16.0,Office,3,4,3,4,3,Yes,2,No,Chennai,1
EMP0231,9.1,Office,2,5,2,4,4,Yes,2,No,Pune,4
EMP0232,10.2,Home,4,5,3,2,5,Yes,5,Yes,Pune,3
EMP0233,15.0,Office,5,2,3,3,4,No,1,Yes,Delhi,5
EMP0234,8.5,Hybrid,1,2,4,1,1,No,1,No,Pune,3
EMP0235,12.2,Home,4,4,1,4,3,No,3,Yes,Karnataka,3
EMP0236,9.4,Home,4,4,2,2,2,No,2,Yes,Delhi,4
EMP0237,10.5,Office,3,3,5,5,2,Yes,4,No,Pune,5
EMP0238,10.9,Home,5,1,2,4,5,Yes,1,Yes,Hyderabad,4
EMP0239,6.4,Home,5,1,4,5,5,Yes,3,No,Chennai,1
EMP0240,5.1,Hybrid,3,2,3,3,5,No,2,No,Delhi,1
EMP0241,10.2,Home,1,4,5,2,1,No,3,Yes,Karnataka,1
EMP0242,11.3,Office,3,5,4,1,1,Yes,1,No,Pune,3
EMP0243,7.2,Hybrid,5,1,4,5,5,No,4,Yes,Delhi,2
EMP0244,10.3,Home,3,2,3,1,5,No,5,Yes,Chennai,5
EMP0245,10.0,Office,1,5,5,2,5,No,2,No,Karnataka,5
EMP0246,8.7,Office,1,4,4,3,5,No,2,Yes,Hyderabad,3
EMP0247,9.3,Hybrid,2,5,1,4,5,No,3,Yes,Karnataka,5
EMP0248,7.6,Hybrid,4,4,3,2,1,No,5,No,Hyderabad,3
EMP0249,10.3,Hybrid,4,5,4,3,1,Yes,3,Yes,Delhi,5
EMP0250,9.9,Home,2,5,4,3,5,Yes,5,Yes,Pune,5
EMP0251,8.6,Hybrid,2,3,1,2,2,No,3,Yes,Hyderabad,1
EMP0252,12.0,Home,1,1,2,2,2,No,1,Yes,Hyderabad,2
EMP0253,11.7,Hybrid,5,4,5,1,1,No,2,Yes,Hyderabad,4
EMP0254,8.6,Hybrid,3,5,3,4,2,Yes,3,Yes,Chennai,4
EMP0255,9.9,Home,5,5,3,2,2,No,2,No,Pune,2
EMP0256,8.0,Hybrid,4,2,3,4,1,Yes,3,Yes,Hyderabad,5
EMP0257,5.0,Home,3,3,1,3,5,Yes,1,No,Delhi,1
EMP0258,8.8,Home,4,1,5,1,5,No,1,Yes,Karnataka,3
EMP0259,7.3,Office,4,4,2,3,2,Yes,5,No,Pune,3
EMP0260,7.9,Office,5,1,1,2,3,Yes,4,Yes,Hyderabad,5
EMP0261,7.1,Home,4,3,1,4,3,Yes,5,No,Pune,3
EMP0262,10.3,Hybrid,4,3,3,5,5,No,2,No,Chennai,4
EMP0263,7.4,Home,2,4,3,4,4,No,4,Yes,Karnataka,4
EMP0264,10.8,Office,1,2,1,1,2,Yes,1,Yes,Karnataka,4
EMP0265,13.3,Home,1,3,5,1,1,Yes,5,No,Karnataka,4
EMP0266,7.8,Home,5,4,3,5,3,No,4,No,Pune,5
EMP0267,9.7,Hybrid,3,2,2,2,5,No,5,No,Delhi,3
EMP0268,6.5,Office,1,4,2,3,5,No,1,No,Pune,5
EMP0269,10.2,Office,5,3,1,4,3,No,4,No,Delhi,2
EMP0270,9.8,Home,3,5,5,4,2,No,1,Yes,Chennai,5
EMP0271,9.6,Home,3,5,3,5,3,No,3,No,Delhi,3
EMP0272,7.0,Home,1,1,2,2,1,No,1,Yes,Chennai,2
EMP0273,9.4,Office,5,2,5,3,1,No,3,Yes,Chennai,5
EMP0274,8.6,Office,4,2,4,4,5,No,5,No,Karnataka,5
EMP0275,6.1,Office,5,3,3,2,3,Yes,3,Yes,Pune,3
EMP0276,11.1,Hybrid,2,5,1,1,5,No,3,Yes,Hyderabad,5
EMP0277,12.1,Hybrid,1,1,4,5,1,No,4,No,Karnataka,2
EMP0278,8.1,Home,3,1,4,2,1,Yes,1,Yes,Chennai,5
EMP0279,10.3,Home,5,2,5,2,2,No,5,No,Chennai,2
EMP0280,11.3,Office,5,2,2,2,3,No,5,No,Pune,4
EMP0281,8.4,Office,3,5,4,5,2,Yes,5,No,Hyderabad,1
EMP0282,9.2,Home,3,1,1,1,4,No,3,No,Pune,2
EMP0283,8.2,Home,4,1,3,5,1,Yes,4,No,Pune,5
EMP0284,9.3,Office,4,1,2,5,2,No,4,No,Chennai,5
EMP0285,12.5,Hybrid,2,5,3,3,2,Yes,2,No,Chennai,5
EMP0286,8.6,Home,5,3,2,3,2,No,4,No,Karnataka,5
EMP0287,11.2,Hybrid,3,3,2,2,3,Yes,3,No,Chennai,1
EMP0288,9.1,Home,5,4,3,1,1,Yes,5,No,Karnataka,2
EMP0289,9.7,Hybrid,4,5,4,3,4,Yes,3,No,Chennai,4
EMP0290,7.1,Hybrid,4,1,1,1,4,No,1,Yes,Chennai,4
EMP0291,10.2,Hybrid,3,4,2,5,1,No,3,No,Karnataka,1
EMP0292,9.3,Office,5,5,3,1,3,Yes,4,No,Hyderabad,3
EMP0293,8.3,Office,1,3,3,1,4,No,5,No,Karnataka,3
EMP0294,7.6,Home,3,4,4,3,3,Yes,2,No,Karnataka,4
EMP0295,7.8,Office,5,3,2,2,3,No,1,Yes,Pune,3
EMP0296,7.6,Hybrid,1,1,2,5,4,Yes,1,No,Pune,1
EMP0297,6.3,Hybrid,1,2,5,5,3,No,1,Yes,Hyderabad,3
EMP0298,9.4,Hybrid,1,1,1,3,1,No,5,No,Karnataka,1
EMP0299,9.5,Office,5,4,2,3,3,No,1,Yes,Delhi,4
EMP0300,11.5,Home,4,5,4,4,3,Yes,1,No,Chennai,2
EMP0301,9.1,Home,2,2,1,4,3,No,4,Yes,Karnataka,3
EMP0302,7.6,Home,1,5,2,2,5,No,2,No,Hyderabad,2
EMP0303,8.0,Office,4,3,3,5,3,No,2,No,Hyderabad,4
EMP0304,13.4,Hybrid,4,3,2,3,2,No,4,Yes,Hyderabad,2
EMP0305,10.7,Hybrid,2,1,1,2,1,Yes,4,Yes,Karnataka,1
EMP0306,8.0,Office,4,3,4,1,2,Yes,1,Yes,Chennai,4
EMP0307,8.2,Home,3,4,3,4,1,Yes,5,No,Delhi,5
EMP0308,9.7,Office,1,1,3,3,2,No,5,No,Chennai,5
EMP0309,6.8,Office,3,1,1,1,3,Yes,2,Yes,Chennai,1
EMP0310,7.6,Office,1,3,4,2,1,No,5,Yes,Pune,4
EMP0311,8.8,Hybrid,5,2,5,4,3,Yes,4,No,Chennai,2
EMP0312,6.7,Office,4,3,1,3,5,Yes,2,No,Hyderabad,4
EMP0313,11.2,Office,4,4,3,4,1,Yes,2,No,Pune,5
EMP0314,10.7,Home,4,3,1,2,3,Yes,2,No,Pune,1
EMP0315,9.8,Hybrid,2,4,2,4,4,No,5,No,Chennai,5
EMP0316,10.0,Home,2,5,5,3,1,Yes,2,No,Delhi,1
EMP0317,9.0,Office,1,2,2,4,3,Yes,4,Yes,Chennai,2
EMP0318,11.8,Office,2,4,3,5,4,Yes,5,Yes,Delhi,5
EMP0319,7.8,Hybrid,2,5,3,2,3,No,5,Yes,Chennai,2
EMP0320,8.3,Office,1,1,4,4,5,Yes,4,Yes,Delhi,5
EMP0321,9.0,Office,1,4,4,5,2,No,2,No,Chennai,4
EMP0322,11.1,Home,5,1,3,5,3,Yes,4,Yes,Pune,5
EMP0323,11.1,Office,5,2,2,5,3,No,1,Yes,Pune,3
EMP0324,9.0,Home,3,3,5,5,5,No,2,No,Pune,5
EMP0325,7.0,Hybrid,2,3,1,3,4,No,1,Yes,Karnataka,5
EMP0326,7.6,Home,5,3,2,5,3,No,4,No,Delhi,3
EMP0327,9.6,Home,2,3,2,2,3,Yes,2,Yes,Chennai,5
EMP0328,9.7,Office,3,4,5,4,1,No,3,No,Pune,2
EMP0329,9.2,Office,1,3,4,4,3,Yes,2,Yes,Karnataka,2
EMP0330,7.2,Home,4,4,3,5,3,No,5,Yes,Chennai,3
EMP0331,7.9,Home,3,3,3,1,1,Yes,3,Yes,Hyderabad,4
EMP0332,9.4,Hybrid,1,5,3,5,2,No,3,No,Chennai,4
EMP0333,9.9,Home,5,2,2,5,1,No,5,Yes,Chennai,4
EMP0334,8.5,Home,1,3,1,5,1,No,1,No,Pune,2
EMP0335,8.0,Hybrid,1,4,5,2,1,Yes,1,Yes,Chennai,4
EMP0336,9.9,Office,5,5,3,1,1,Yes,2,Yes,Delhi,1
EMP0337,10.8,Office,3,5,3,1,2,Yes,4,No,Chennai,5
EMP0338,8.5,Hybrid,4,1,4,5,4,Yes,3,No,Karnataka,2
EMP0339,9.4,Home,1,2,5,1,2,No,2,No,Delhi,5
EMP0340,9.1,Office,2,4,1,5,4,Yes,5,No,Karnataka,5
EMP0341,6.7,Office,2,5,5,2,1,No,1,No,Hyderabad,5
EMP0342,6.9,Hybrid,3,5,2,4,2,Yes,1,Yes,Karnataka,2
EMP0343,9.1,Hybrid,5,1,1,2,4,Yes,4,No,Hyderabad,4
EMP0344,9.9,Home,4,4,2,4,5,No,4,Yes,Pune,1
EMP0345,7.2,Office,1,4,2,4,5,Yes,3,Yes,Hyderabad,5
EMP0346,9.4,Home,3,5,3,3,5,No,1,No,Karnataka,2
EMP0347,8.9,Home,3,3,1,1,2,Yes,4,Yes,Hyderabad,4
EMP0348,10.1,Hybrid,5,2,5,1,3,No,3,No,Karnataka,5
EMP0349,6.2,Home,2,5,1,1,1,No,4,Yes,Hyderabad,3
EMP0350,10.0,Hybrid,1,2,4,4,2,Yes,4,Yes,Chennai,4
